variable,label,decision,registered,missing,section
VICTIMA_APATRIDA,Situación migratoria de la persona usuaria: Apátrida,Indicador agregado,0,120168,poblaciones
VICTIMA_OTRA_SIT_MIGR,Situación migratoria de la persona usuaria: Otra situación migratoria,Indicador agregado,62,120106,poblaciones
VICTIMA_ESP_OTRA_SIT_MIGR,Situación migratoria de la persona usuaria: Especificar otra situación migratoria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
VICTIMA_NINGUNA_SIT_MIGR,Situación migratoria de la persona usuaria: Ninguna situación migratoria,Indicador agregado,521,119647,poblaciones
EDAD_VICTIMA,Edad de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
SEXO_VICTIMA,Sexo de la persona usuaria,Indicador agregado,120168,0,perfil
VICTIMA_GESTANDO,¿Está gestando la persona usuaria?,Indicador agregado,99882,20286,poblaciones
VICTIMA_TIEMPO_GESTACION,Especificar tiempo de gestación,Indicador agregado,2878,117290,poblaciones
HIJAS_VIVAS_0_17,Número de hijas de 0 a 17 años (Actualmente vivas),Indicador agregado,120168,0,perfil
HIJOS_VIVOS_0_17,Número de hijos de 0 a 17 años (Actualmente vivos),Indicador agregado,120168,0,perfil
HIJAS_VIVAS_18_MAS,Número de hijas de 18 a más años (Actualmente vivas),Indicador agregado,120168,0,perfil
HIJOS_VIVOS_18_MAS,Número de hijos de 18 a más años (Actualmente vivos),Indicador agregado,120168,0,perfil
DPTO_NACIMIENTO,Código UBIGEO del departamento de nacimiento de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PROV_NACIMIENTO,Código UBIGEO de la provincia de nacimiento de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIST_NACIMIENTO,Código UBIGEO del distrito de nacimiento de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FECHA_NACIMIENTO_VICTIMA,Fecha de nacimiento de la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
LENGUA_MATERNA_VICTIMA,¿Cuál es el idioma o lengua materna con el que aprendió a hablar en su niñez?,Indicador agregado,117593,2575,territorio
OTRA_LENGUA_NATIVA_VICTIMA,Escribir el código de otra lengua nativa u originaria,Indicador agregado,121,120047,territorio
OTRA_LENGUA_EXTRANJERA_VICTIMA,Especificar otra lengua extranjera,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ETNIA_VICTIMA,"Por sus costumbres y sus antepasados, la persona usuaria se siente o considera",Indicador agregado,97816,22352,territorio
PUEBLO_INDIGENA_AMAZONIA,Escribir el código del pueblo indígena de la amazonía,Indicador agregado,605,119563,territorio
PUEBLO_INDIGENA_ANDES,Escribir el código del pueblo indígena de los Andes,Indicador agregado,2,120166,territorio
