variable,label,decision,registered,missing,section
GOLPES_CON_OBJETOS_CONTUNDENTES,"Golpes con otros objetos contundentes (piedras, fierros, botellas, herramientas, etc.)",Indicador agregado,1708,118460,violencia
NEGLIGENCIA,Negligencia,Indicador agregado,4521,115647,violencia
QUEMADURA,Quemaduras,Indicador agregado,83,120085,violencia
OTRA_VFIS,Otro tipo de violencia física,Indicador agregado,8524,111644,violencia
DETALLE_OTRA_VFIS,Especificar otra violencia física,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
HOSTIGAMIENTO_SEXUAL,Hostigamiento sexual,Indicador agregado,288,119880,violencia
ACOSO_SEX_ESP_PUB,Acoso sexual en espacios públicos,Indicador agregado,422,119746,violencia
VIOLACION,Violación sexual,Indicador agregado,8761,111407,violencia
TRATA_CON_FINES_EXPLOTACION_SEXUAL,Trata de personas con fines de explotación sexual,Indicador agregado,124,120044,violencia
EXPLOTACION_SEXUAL,Explotación Sexual,Indicador agregado,27,120141,violencia
PORNOGRAFIA,Pornografía,Indicador agregado,37,120131,violencia
VIOLACION_SEXUAL_ENGANO,Violación sexual mediante engaño,Indicador agregado,121,120047,violencia
EXHIBICION_OBSCENIDAD,Exhibiciones y publicaciones obscenas,Indicador agregado,201,119967,violencia
PROP_NNA_MED_TEC,Proposiciones a NNA con fines sexuales por medios tecnológicos,Indicador agregado,148,120020,violencia
ACOSO_SEXUAL,Acoso sexual,Indicador agregado,1443,118725,violencia
CHANTAJE_SEXUAL,Chantaje sexual,Indicador agregado,326,119842,violencia
DIF_IMAGEN_CONT_SEX,"Difusión de imágenes, materiales audiovisuales o audios con contenido sexual",Indicador agregado,548,119620,violencia
TOCAMIENTO_SIN_CONSENTIMIENTO,"Tocamientos, actos de connotación sexual o actos libidinosos sin consentimiento",Indicador agregado,3603,116565,violencia
TOCAMIENTO_AGRAVIO_MENORES,"Tocamientos, actos de connotación sexual o actos libidinosos en agravio de menores",Indicador agregado,5806,114362,violencia
OTRA_VSEX,Otro tipo de violencia sexual,Indicador agregado,1144,119024,violencia
DETALLE_OTRA_VSEX,Especificar otra violencia sexual,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MODALIDADES_VCM,Otras modalidades de violencia contra las mujeres,Indicador agregado,99860,20308,violencia
LUGAR_OCURRENCIA,Lugar de ocurrencia del hecho de violencia,Indicador agregado,120168,0,violencia
ESP_OTRO_LUGAR_OCURRENCIA,Especificar otro lugar del hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
AMBITO_VIOLENCIA,Ámbito donde se produjo la violencia,Indicador agregado,120168,0,violencia
TIPO_AMBITO_PUBLICO,Tipo de ámbito público,Indicador agregado,22817,97351,violencia
ESP_OTRO_TIPO_AMBITO_PUBLICO,Especificar Otro tipo de ámbito público,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIA_OCURRENCIA_VIOLENCIA,Día de ocurrencia del último hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MES_OCURRENCIA_VIOLENCIA,Mes de ocurrencia del último hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_OCURRENCIA_VIOLENCIA,Año de ocurrencia del último hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PRIMERA_VEZ_AGREDE,¿Es la primera vez que la persona usuaria es agredida por la presunta persona agresora?,Indicador agregado,120168,0,violencia
N_ANOS,Número de años de la agresión,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_MESES,Número de meses de la agresión,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_SEMANAS,Número de semanas de la agresión,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
N_DIAS,Número de días de la agresión,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FRECUENCIA_AGREDE,Frecuencia que es agredido/a la persona usuaria,Indicador agregado,88907,31261,violencia
DENUNCIA_ANTERIORES_HECHOS,¿Efectuó denuncia de los anteriores hechos de violencia?,Indicador agregado,88907,31261,violencia
DEPENDENCIA_DENUNCIA_ULTIMO_HECHO,Dependencia donde interpuso la última denuncia de los anteriores hechos de violencia,Indicador agregado,24589,95579,violencia
ESTADO_AGRESOR_U_A,Estado de la presunta persona agresora en la última agresión,Indicador agregado,120168,0,agresor
ESTADO_AGRESOR_G,Estado de la presunta persona agresora generalmente,Indicador agregado,88907,31261,agresor
ESTADO_VICTIMA_U_A,Estado de la persona usuaria en la última agresión,Indicador agregado,120168,0,violencia
ESTADO_VICTIMA_G,Estado de la persona usuaria generalmente,Indicador agregado,88907,31261,violencia
TRATAMIENTO_PSICOLOGICO,Tratamiento recibidos a consecuencia de los hechos de violencia: Tratamiento psicológico,Indicador agregado,5466,114702,atencion
TRATAMIENTO_PSIQUIATRICO,Tratamiento recibidos a consecuencia de los hechos de violencia: Tratamiento psiquiátrico,Indicador agregado,774,119394,atencion
ATENCION_MEDICA,Tratamiento recibidos a consecuencia de los hechos de violencia: Atención médica,Indicador agregado,2718,117450,atencion
OTRO_TRATAMIENTO,Tratamiento recibidos a consecuencia de los hechos de violencia: Otro tratamiento recibido,Indicador agregado,328,119840,atencion
ESP_OTRO_TRATAMIENTO,Tratamiento recibidos a consecuencia de los hechos de violencia: Especificar otro tratamiento recibido,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
NINGUN_TRATAMIENTO,Tratamiento recibidos a consecuencia de los hechos de violencia: No ha recibido ningún tratamiento,Indicador agregado,111534,8634,atencion
CONTINUA_RECIBIENDO_TRATAMIENTO,¿Recibe actualmente algún tipo de tratamiento la persona usuaria?,Indicador agregado,120168,0,atencion
ESP_TIPO_TRATAMIENTO,Especificar el tipo de tratamiento que recibe la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANTECEDENTE_DESAPARICION,"¿La persona usuaria presenta antecedentes de desaparición, cometida por la misma presunta persona agresora?",Indicador agregado,120168,0,violencia
DIA_DESAPARICION,Día de la desaparición,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MES_DESAPARICION,Mes de la desaparición,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_DESAPARICION,Año de la desaparición,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DENUNCIA_DESAPARICION,¿Se realizó denuncia policial por la desaparición de la persona usuaria?,Indicador agregado,308,119860,violencia
UNIDAD_DENUNCIA_DESAPARICION,¿En qué unidad de la PNP se interpuso la denuncia?,Indicador agregado,231,119937,violencia
DIA_DENUNCIA_DESAPARICION,Día en que se interpuso la denuncia por la desaparición,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MES_DENUNCIA_DESAPARICION,Mes en que se interpuso la denuncia por la desaparición,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_DENUNCIA_DESAPARICION,Año en que se interpuso la denuncia por la desaparición,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DESAPARICION_ANOS,Tiempo que estuvo desaparecida en años,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DESAPARICION_MESES,Tiempo que estuvo desaparecida en meses,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DESAPARICION_SEMANAS,Tiempo que estuvo desaparecida en semanas,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DESAPARICION_DIAS,Tiempo que estuvo desaparecida en días,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FORMA_LIBERTAD_DESAPARICION,¿Cómo recuperó su libertad la persona usuaria?,Indicador agregado,307,119861,violencia
ESP_FORMA_LIBERTAD_DESAPARICION,Especificar Otra forma como recuperó su libertad la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DESAPARICION_LIBERTAD_SEXUAL,¿Fue víctima de delito contra la Libertad Sexual?,Indicador agregado,308,119860,violencia
DESAPARICION_TRATA_PERSONAS,¿Fue víctima de delito de Trata de Personas?,Indicador agregado,308,119860,violencia
FACTOR_AGRESOR_VFIS_CAUSA_LESION,Factor de riesgo de la presunta persona agresora: Realiza actos de violencia física que puedan causar lesiones,Indicador agregado,33057,87111,riesgo
FACTOR_AGRESOR_VFIS_PRESENCIA_HIJOS_FAMILIARES,Factor de riesgo de la presunta persona agresora: Realiza actos de violencia física en presencia de hijos/as o familiares,Indicador agregado,19807,100361,riesgo
FACTOR_AGRESOR_AMENAZA_CON_OBJETO_PELIGROSO,Factor de riesgo de la presunta persona agresora: Amenaza con objetos peligrosos o con armas de cualquier tipo,Indicador agregado,3526,116642,riesgo
FACTOR_AGRESOR_ACCESO_ARMA_DE_FUEGO,Factor de riesgo de la presunta persona agresora: Posee o tiene acceso a armas de fuego,Indicador agregado,3374,116794,riesgo
FACTOR_AGRESOR_AMENAZA_DE_MUERTE,Factor de riesgo de la presunta persona agresora: Ha realizado amenazas graves o de muerte,Indicador agregado,10265,109903,riesgo
FACTOR_AGRESOR_TIENE_ACCESO_A_VICTIMA,Factor de riesgo de la presunta persona agresora: Tiene acceso a la persona usuaria,Indicador agregado,79752,40416,riesgo
FACTOR_AGRESOR_AUMENTA_EPISODIO_VIOLENTO,Factor de riesgo de la presunta persona agresora: Aumenta frecuencia y gravedad de episodios violentos,Indicador agregado,13669,106499,riesgo
FACTOR_AGRESOR_INTENCION_DE_CAUSAR_LESION,Factor de riesgo de la presunta persona agresora: Intención de causar lesiones graves o muy graves,Indicador agregado,6696,113472,riesgo
FACTOR_AGRESOR_TENTATIVA_DE_FEMINICIDIO,Factor de riesgo de la presunta persona agresora: Ha perpetrado tentativa de feminicidio,Indicador agregado,348,119820,riesgo
FACTOR_AGRESOR_AGRESION_SEXUAL_DE_PAREJA,Factor de riesgo de la presunta persona agresora: Ha perpetrado agresiones sexuales en la relación de pareja,Indicador agregado,1473,118695,riesgo
FACTOR_AGRESOR_VIOLENTA_HIJOS_FAMILIARES,Factor de riesgo de la presunta persona agresora: Violenta a hijos/as u otro familiar,Indicador agregado,14055,106113,riesgo
FACTOR_AGRESOR_INCUMPLE_MEDIDA_PROTECCION,Factor de riesgo de la presunta persona agresora: Incumple medidas de protección,Indicador agregado,9126,111042,riesgo
FACTOR_AGRESOR_CELOS_PATOLOGICOS,Factor de riesgo de la presunta persona agresora: Tiene conducta vigilante y/o celos patológicos,Indicador agregado,20689,99479,riesgo
FACTOR_AGRESOR_HISTORIAL_VIOLENCIA_PAREJA,Factor de riesgo de la presunta persona agresora: Tiene historial de conductas violentas con la pareja anterior,Indicador agregado,3314,116854,riesgo
FACTOR_AGRESOR_HISTORIAL_VIOLENCIA_OTRA_PERSONA,Factor de riesgo de la presunta persona agresora: Tiene historial de conductas violentas con otras personas,Indicador agregado,11538,108630,riesgo
FACTOR_AGRESOR_CONSUMO_ALCOHOL,Factor de riesgo de la presunta persona agresora: Abuso en el consumo de alcohol,Indicador agregado,21331,98837,riesgo
FACTOR_AGRESOR_CONSUME_DROGA,Factor de riesgo de la presunta persona agresora: Consume drogas,Indicador agregado,6181,113987,riesgo
FACTOR_AGRESOR_ENFERMEDAD_MENTAL,Factor de riesgo de la presunta persona agresora: Tiene antecedentes de enfermedad mental,Indicador agregado,614,119554,riesgo
FACTOR_AGRESOR_CONDUCTAS_DE_CRUELDAD,"Factor de riesgo de la presunta persona agresora: Presenta conductas de crueldad, desprecio a la víctima y falta de arrepentimiento",Indicador agregado,17695,102473,riesgo
FACTOR_AGRESOR_NEGATIVA_A_SEPARACION,Factor de riesgo de la presunta persona agresora: Negativa rotunda a la separación,Indicador agregado,10284,109884,riesgo
FACTOR_AGRESOR_ANTECEDENTE_LEGAL,Factor de riesgo de la presunta persona agresora: Tiene antecedente policial / judicial / penal,Indicador agregado,14462,105706,riesgo
FACTOR_AGRESOR_NEGLIGENTE,Factor de riesgo de la presunta persona agresora: Es madre / padre negligente,Indicador agregado,16975,103193,riesgo
FACTOR_AGRESOR_LIMITACION_FISICA,"Factor de riesgo de la presunta persona agresora: Presenta limitación física, intelectual o emocional, como persona cuidadora",Indicador agregado,148,120020,riesgo
FACTOR_AGRESOR_AMENAZA_DANAR,Factor de riesgo de la presunta persona agresora: Amenaza con dañar a los/as hijos/as o a alguien más,Indicador agregado,1009,119159,riesgo
FACTOR_AGRESOR_SIN_RED_DE_APOYO,Factor de riesgo de la presunta persona agresora: Madre / padre adolescente que no cuenta con redes de apoyo idóneas,Indicador agregado,32,120136,riesgo
FACTOR_AGRESOR_HISTORIAL_DE_MALTRATO,Factor de riesgo de la presunta persona agresora: Tiene historia personal de maltrato / abandono,Indicador agregado,506,119662,riesgo
FACTOR_AGRESOR_RESPUESTA_NEGATIVA,Factor de riesgo de la presunta persona agresora: Presenta respuesta negativa como persona cuidadora,Indicador agregado,717,119451,riesgo
FACTOR_AGRESOR_OTRO,Factor de riesgo de la presunta persona agresora: Otro factor de riesgo de la presunta persona agresora,Indicador agregado,26227,93941,riesgo
ESP_FACTOR_AGRESOR_OTRO,Factor de riesgo de la presunta persona agresora: Especificar otro factor,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
FACTOR_VICTIMA_CARENCIA_RED_FAMILIAR,Factor de riesgo de la persona usuaria: Carencia de red familiar y social,Indicador agregado,7265,112903,riesgo
FACTOR_VICTIMA_DEPENDE_ECONOMICAMENTE_AGRESOR,Factor de riesgo de la persona usuaria: Depende económicamente de la presunta persona agresora,Indicador agregado,24945,95223,riesgo
FACTOR_VICTIMA_JUSTIFICA_AGRESIONES,Factor de riesgo de la persona usuaria: Justifica o resta importancia a las agresiones sufridas,Indicador agregado,12633,107535,riesgo
FACTOR_VICTIMA_INTENTA_RETIRAR_DENUNCIA,Factor de riesgo de la persona usuaria: Ha presentado intento de retirar denuncia,Indicador agregado,7930,112238,riesgo
FACTOR_VICTIMA_INICIA_NUEVA_RELACION,Factor de riesgo de la persona usuaria: Ha iniciado una nueva relación de pareja,Indicador agregado,1387,118781,riesgo
FACTOR_VICTIMA_AISLAMIENTO,Factor de riesgo de la persona usuaria: Presenta aislamiento,Indicador agregado,4331,115837,riesgo
FACTOR_VICTIMA_VULNERABILIDAD,Factor de riesgo de la persona usuaria: Presenta vulnerabilidad,Indicador agregado,60435,59733,riesgo
FACTOR_VICTIMA_DISCAPACIDAD,Factor de riesgo de la persona usuaria: Es una persona con discapacidad,Indicador agregado,1730,118438,riesgo
FACTOR_VICTIMA_DEPENDE_EMOCIONALMENTE_AGRESOR,Factor de riesgo de la persona usuaria: Depende emocionalmente de la presunta persona agresora,Indicador agregado,24538,95630,riesgo
FACTOR_VICTIMA_PERCIBE_PELIGRO_DE_MUERTE,Factor de riesgo de la persona usuaria: Tiene la percepción de peligro de muerte,Indicador agregado,6049,114119,riesgo
FACTOR_VICTIMA_ABUSO_CONSUMO_ALCOHOL,Factor de riesgo de la persona usuaria: Abuso en el consumo de alcohol,Indicador agregado,386,119782,riesgo
FACTOR_VICTIMA_CONSUME_DROGAS,Factor de riesgo de la persona usuaria: Consume drogas,Indicador agregado,174,119994,riesgo
FACTOR_VICTIMA_HISTORIAL_VIOLENCIA_OTRA_PAREJA,Factor de riesgo de la persona usuaria: Tiene historia de conductas violentas con su pareja anterior,Indicador agregado,951,119217,riesgo
FACTOR_VICTIMA_AMENAZA_DANAR_HIJOS,Factor de riesgo de la persona usuaria: Amenaza con dañar a los/as hijos/as o a alguien más,Indicador agregado,118,120050,riesgo
FACTOR_VICTIMA_INDEFENSION,Factor de riesgo de la persona usuaria: Presenta síndrome de indefensión,Indicador agregado,13149,107019,riesgo
FACTOR_VICTIMA_TENTATIVA_DE_FEMINICIDIO,"Factor de riesgo de la persona usuaria: Ha presentado lesiones graves, tentativa de feminicidio o parricidio",Indicador agregado,150,120018,riesgo
FACTOR_VICTIMA_PROBLEMA_COMPORTAMENTAL,"Factor de riesgo de la persona usuaria: Tiene problemas comportamentales si es niña, niño o adolescente",Indicador agregado,4414,115754,riesgo
FACTOR_VICTIMA_INTENTO_DE_SUICIDIO,"Factor de riesgo de la persona usuaria: Presenta fantasías, ideas, intento o amenaza de suicidio",Indicador agregado,1544,118624,riesgo
FACTOR_VICTIMA_INSEGURIDAD_EN_VIVIENDA,Factor de riesgo de la persona usuaria: Se evidencia inseguridad en la vivienda en la que habita la persona usuaria,Indicador agregado,27912,92256,riesgo
FACTOR_VICTIMA_AUSENCIA_DE_CUIDADOR,Factor de riesgo de la persona usuaria: Ausencia de las personas cuidadoras en la vivienda,Indicador agregado,1244,118924,riesgo
FACTOR_VICTIMA_OTRO,Factor de riesgo de la persona usuaria: Otro factor de riesgo de la persona usuaria,Indicador agregado,26726,93442,riesgo
ESP_FACTOR_VICTIMA_OTRO,Factor de riesgo de la persona usuaria: Especificar otro factor,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
VULNERABILIDAD_VICTIMA_LGBTI,Forma de vulneración de la persona usuaria: Vulneración por orientación sexual e identidad de género (Población LGBTI),Indicador agregado,66,120102,riesgo
VULNERABILIDAD_VICTIMA_VIH,Forma de vulneración de la persona usuaria: Es una persona infectada con el Virus de la Inmunodeficiencia Humana (VIH),Indicador agregado,55,120113,riesgo
VULNERABILIDAD_VICTIMA_EMBARAZO_VIOLACION,Forma de vulneración de la persona usuaria: Mujer en estado de gestación producto de la violación sexual,Indicador agregado,151,120017,riesgo
VULNERABILIDAD_VICTIMA_INDIGENA,"Forma de vulneración de la persona usuaria: Pertenencia a comunidades campesinas,nativas y pueblos indígenas u originarios o población afroperuana",Indicador agregado,22,120146,riesgo
VULNERABILIDAD_VICTIMA_MIGRANTE,Forma de vulneración de la persona usuaria: Persona migrante o refugiada,Indicador agregado,138,120030,riesgo
VULNERABILIDAD_VICTIMA_ENF_CRONICA,Forma de vulneración de la persona usuaria: Enfermedades crónicas,Indicador agregado,572,119596,riesgo
VULNERABILIDAD_VICTIMA_OTRO,Forma de vulneración de la persona usuaria: Otra forma de vulneración,Indicador agregado,59649,60519,riesgo
VINCULO_AFECTIVO_FAMILIA,Vínculos afectivos positivos de la persona usuaria: La familia,Indicador agregado,111389,8779,riesgo
VINCULO_AFECTIVO_AMIGOS,Vínculos afectivos positivos de la persona usuaria: Los/as amigos/as,Indicador agregado,6839,113329,riesgo
VINCULO_AFECTIVO_VECINOS,Vínculos afectivos positivos de la persona usuaria: Los/as vecinos/as,Indicador agregado,2994,117174,riesgo
VINCULO_AFECTIVO_ASOCIACIONES,Vínculos afectivos positivos de la persona usuaria: Las asociaciones a las que pertenece,Indicador agregado,257,119911,riesgo
VINCULO_AFECTIVO_ORGANIZACIONES_CIVICAS,Vínculos afectivos positivos de la persona usuaria: Las organizaciones cívicas,Indicador agregado,705,119463,riesgo
VINCULO_AFECTIVO_COMPANEROS_TRABAJO,Vínculos afectivos positivos de la persona usuaria: Los/as compañeros/as de trabajo,Indicador agregado,315,119853,riesgo
VINCULO_AFECTIVO_OTRO,Vínculos afectivos positivos de la persona usuaria: Otro vínculo afectivo positivo,Indicador agregado,1706,118462,riesgo
ESP_VINCULO_AFECTIVO_OTRO,Vínculos afectivos positivos de la persona usuaria: Especificar otro vínculo afectivo,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
VINCULO_AFECTIVO_NINGUNO,Vínculos afectivos positivos de la persona usuaria: Ningún vínculo afectivo positivo,Indicador agregado,3303,116865,riesgo
COMP_DESTR_PROT,¿La persona usuaria cuenta con competencias y destrezas de protección?,Indicador agregado,120168,0,riesgo
DETALLE_COMP_DESTR_PROT,"Indicar la principal capacidad y destreza que tiene la persona usuaria para reconocer el riesgo, manejarlo, evitarlo, manejar el conflicto y la tensión","No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
RECURSOS_INST,¿La persona usuaria cuenta con recursos institucionales?,Indicador agregado,120168,0,riesgo
DETALLE_RECURSOS_INST,Indicar la principal herramienta externa de tipo institucional que protege o ayuda a la persona usuaria a satisfacer sus necesidades materiales o no materiales,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PROBABILIDAD_VIOLENCIA,Probabilidad de ocurrencia de la violencia en la persona usuaria,Indicador agregado,120168,0,riesgo
IMPACTO_VIOLENCIA,Impacto del hecho de violencia en la persona usuaria,Indicador agregado,120168,0,riesgo
TIEMPO_VIOLENCIA,Tiempo de ocurrencia del hecho de violencia en la persona usuaria,Indicador agregado,120168,0,riesgo
NIVEL_DE_RIESGO_VICTIMA,Valoración del nivel de riesgo que presenta la persona usuaria,Indicador agregado,120168,0,riesgo
DONDE_INTERPUSO_DENUNCIA,¿Dónde interpuso la denuncia la persona usuaria?,Indicador agregado,105410,14758,justicia
NOMBRE_DEPENDENCIA_DENUNCIA,Nombre de la dependencia donde se interpuso la denuncia la persona usuaria,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DIA_DENUNCIA,Día en que se interpuso la denuncia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
MES_DENUNCIA,Mes en que se interpuso la denuncia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
ANO_DENUNCIA,Año en que se interpuso la denuncia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DESEA_DENUNCIAR,¿Desea formular denuncia la persona usuaria?,Indicador agregado,14755,105413,justicia
MOTIVO_NO_DESEA_DENUNCIAR,Motivo por lo que la persona usuaria no desea formular denuncia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
CUENTA_MEDIDAS_PROTECCION,"¿La persona usuaria cuenta con las medidas de protección por el último hecho de violencia, antes de la intervención del CEM?",Indicador agregado,105414,14754,justicia
CUENTA_MEDIDAS_CAUTELARES,"¿La persona usuaria cuenta con las medidas cautelares por el último hecho de violencia, antes de la intervención del CEM?",Indicador agregado,105409,14759,justicia
DOCUMENTO_MEDICO_LEGAL,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Reconocimiento médico legal",Indicador agregado,18613,101555,justicia
DOCUMENTO_INF_PSI,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Informe psicológico",Indicador agregado,3323,116845,justicia
DOCUMENTO_RETIRO_HOGAR,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Constancia de retiro del hogar",Indicador agregado,96,120072,justicia
DOCUMENTO_GARANTIAS,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Garantías",Indicador agregado,503,119665,justicia
DOCUMENTO_PERICIA_PSI,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Pericia Psicológica/Cámara Gessel",Indicador agregado,4850,115318,justicia
DOCUMENTO_INF_SOC,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Informe social",Indicador agregado,2518,117650,justicia
DOCUMENTO_INSP_POLICIAL,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Inspección policial",Indicador agregado,886,119282,justicia
DOCUMENTO_OTRO,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Otro documento",Indicador agregado,43049,77119,justicia
ESP_DOCUMENTO_OTRO,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Especificar otro documento","No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DOCUMENTO_NINGUNO,"Documentos que la persona usuaria cuenta, antes de la intervención del CEM: Ningún documento",Indicador agregado,57244,62924,justicia
SITUACION_AGRESOR,Situación de la presunta persona agresora luego de ocurrido el hecho de violencia,Indicador agregado,120168,0,agresor
OTRA_SITUACION_AGRESOR,Especificar otra situación de la presunta persona agresora luego de ocurrido el hecho de violencia,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DESEA_PATROCINIO_LEGAL,¿La persona usuaria está interesada en recibir patrocinio legal del CEM por el último hecho de violencia?,Indicador agregado,120168,0,justicia
MOTIVO_NO_PATROCINIO_LEGAL,Motivos por lo el cual la persona usuaria no está interesado/a en recibir patrocinio legal del CEM,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
APRECIACION_PROF_PSICOLOGIA,Apreciación profesional del servicio de psicología y acciones inmediatas (solo si se cuenta con el servicio de psicología),"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
DERIVA_SERV_ACOMPANAMIENTO,Derivación del caso al servicio de “Acompañamiento a víctimas de violencia,Indicador agregado,120168,0,atencion
DERIVA_SGT_SERVICIO_SECCION_C,Derivación del caso al/ a la siguiente profesional (para registro de la Sección C),Indicador agregado,120168,0,atencion
REDES_FAM_SOC,¿Cuenta con redes familiares o sociales?,Indicador agregado,120168,0,riesgo
PARENTESCO_RED_1,Red familiar o social idónea 1: Parentesco / Tipo de institución,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_SOPORTE_RED_1,Red familiar o social idónea 1: Tipo de soporte,Indicador agregado,111519,8649,riesgo
PARENTESCO_RED_2,Red familiar o social idónea 2: Parentesco / Tipo de institución,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_SOPORTE_RED_2,Red familiar o social idónea 2: Tipo de soporte,Indicador agregado,70713,49455,riesgo
PARENTESCO_RED_3,Red familiar o social idónea 3: Parentesco / Tipo de institución,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_SOPORTE_RED_3,Red familiar o social idónea 3: Tipo de soporte,Indicador agregado,38086,82082,riesgo
PARENTESCO_RED_4,Red familiar o social idónea 4: Parentesco / Tipo de institución,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_SOPORTE_RED_4,Red familiar o social idónea 4: Tipo de soporte,Indicador agregado,24454,95714,riesgo
PARENTESCO_RED_5,Red familiar o social idónea 5: Parentesco / Tipo de institución,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
TIPO_SOPORTE_RED_5,Red familiar o social idónea 5: Tipo de soporte,Indicador agregado,10693,109475,riesgo
INSERCION_REDES,La persona usuaria ¿requiere ser insertada en redes familiares o sociales?,Indicador agregado,120168,0,riesgo
INSERCION_RED_FAM_SOC,La persona usuaria acepta ser insertada en redes familiares o sociales,Indicador agregado,11636,108532,riesgo
INSERCION_RED_FAMILIA_AMISTAD,La persona usuaria será insertada con familiares / amistades,Indicador agregado,4480,115688,riesgo
PARENTESCO_RED_FAMILIA_AMISTAD_1,La persona usuaria será insertada con familiares / amistades 1: Parentesco / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
EDAD_RED_FAMILIA_AMISTAD_1,La persona usuaria será insertada con familiares / amistades 1: Edad del familiar / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PARENTESCO_RED_FAMILIA_AMISTAD_2,La persona usuaria será insertada con familiares / amistades 2: Parentesco / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
EDAD_RED_FAMILIA_AMISTAD_2,La persona usuaria será insertada con familiares / amistades 2: Edad del familiar / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
PARENTESCO_RED_FAMILIA_AMISTAD_3,La persona usuaria será insertada con familiares / amistades 3: Parentesco / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
EDAD_RED_FAMILIA_AMISTAD_3,La persona usuaria será insertada con familiares / amistades 3: Edad del familiar / amigo/a,"No publicado: texto libre, identificador, fecha exacta o campo sin categorías verificadas",,,
